model	task	scope	id	name	predicate_kind	type	universe	facts	bytes	attempts	evaluation_ns	sparse_bytes	best_bytes
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	0	com	2	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	1	ww_loc	5	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	2	ppo	2	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	3	lifecycle	2	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	4	order	2	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	5	reach	12	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	6	rf	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	7	ext	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	8	rfe	5	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	9	fr	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	10	co	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	11	W	0	set	0	0	0	0	0	0	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	12	po	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	13	loc	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	14	R	0	set	0	0	0	0	0	0	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	15	F	0	set	0	0	0	0	0	0	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	16	SC	0	set	0	0	0	0	0	0	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	17	tc	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	18	tj	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	19	rmw	0	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	20	fre	5	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	21	coe	5	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	22	$n0	2	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	23	$n1	7	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	24	$n2	3	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	25	$n3	7	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	26	$n4	3	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	27	$n5	7	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	28	$n6	3	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	29	$n7	2	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	30	$n8	7	relation	0	0	0	0	0	4	0
pso	36-apron_41-threadenter-no-locals_unknown_1_pos.yml	predicate	31	$n9	3	relation	0	0	0	0	0	4	0
